Project Code,Translated project name,Project Name,Initialize Status,Project Level,DR Type,Account Group,Business Unit,Region,Rep.Office,Country,Translated Account Name,Account Name,Business Group
55GQMHJ,Inverter technology service group internal source project - 2017 period,逆变器技术服务部内部源项目-2017年度,Uninitialized,,,,Customer Support,China Region,China Region,A9,,,Other
5555520S,eSurvey based on counterparties' demo use project,eSurvey按对象采集演示专用项目,Initialized,,,China Mobile,Network Integration Services,China Region,China Region,China,China Mobile Telecoms Zhejiang Co,中国移动通信集团浙江有限公司,1
5540228,A9 rep office 2016 small medium project contract TZ,A9代表处2016中小项目打包TZ,Initialized,Representative office Level (Class D),,CG10532-VimpelCom,Network Integration Services,China Region,China Region,"Korea, Democratic People's Republic of",Beijing Tianze Boya Tech (Panda),北京天择博雅信息技术有限公司,Operator
5540208,A9 rep office 2016 small medium project contract BX,A9代表处2016中小项目打包BX,Uninitialized,Representative office Level (Class D),,CG10532-VimpelCom,Network Integration Services,China Region,China Region,"Korea, Democratic People's Republic of",Xiamen Baoxin Supply China Co,厦门宝欣供应链股份有限公司,Operator
5538041,2015 A9 office Koryolink software small-medium project Group (Baoxin),2015年A9办事处Koryolink电软中小项目群(宝欣）,Uninitialized,Representative office Level (Class D),,CG10532 VimpelCom,Software Company Service,China Region,China Region,"Korea, Democratic People's Republic of",Xiamen Baoxin Supply China Co,厦门宝欣供应链股份有限公司,Operator
5537565,2015 A9 office Koryolink software small-medium project Group (Tianze),2015年A9办事处Koryolink电软中小项目群（天择）,Uninitialized,Representative office Level (Class D),,CG10532 VimpelCom,Software Company Service,China Region,China Region,"Korea, Democratic People's Republic of",Beijing Tianze Boya Tech (Panda),北京天择博雅信息技术有限公司,Operator
5536502,A9 Rep office 2015 Small-medium project group (TZ),A9代表处2015年中小项目群（TZ）,Uninitialized,Representative office Level (Class D),,CG10532 VimpelCom,Network Integration Services,China Region,China Region,"Korea, Democratic People's Republic of",Beijing Tianze Boya Tech (Panda),北京天择博雅信息技术有限公司,Operator
5536501,A9 Rep office 2015 Small-medium project group (BX),A9代表处2015年中小项目群（BX）,Uninitialized,Representative office Level (Class D),,CG10532 VimpelCom,Network Integration Services,China Region,China Region,"Korea, Democratic People's Republic of",Xiamen Baoxin Supply China Co,厦门宝欣供应链股份有限公司,Operator
5534442,,KPTC TSE Project in 2014,Uninitialized,Representative office Level (Class D),,CG10532 VimpelCom,Network Integration Services,China Region,China Region,"Korea, Democratic People's Republic of",Beijing Tianze Boya Tech (Panda),北京天择博雅信息技术有限公司,Operator
5534339,,China Region Customer-Staff Training Program,Uninitialized,Representative office Level (Class D),,,Learning Service,China Region,China Region,,,,Operator
5531548,,A9 New MSC Project,Uninitialized,Representative office Level (Class D),,80 其他,Network Integration Services,China Region,China Region,"Korea, Democratic People's Republic of",,Koryolink,Operator
5530321,A9 Rep office Koryolink 2014-2016 software maintenance project,A9代表处Koryolink 2014至2016年电软维保项目,Uninitialized,Representative office Level (Class D),,80-其他,Software Company Service,China Region,China Region,"Korea, Democratic People's Republic of",,Koryolink,Operator
5529856,A9 rep office Koryolink 2014-2016 maintenance project,A9代表处Koryolink 2014~2016年维保项目,Uninitialized,Representative office Level (Class D),,CG10540-VimpelCom亚非分部,Managed Service & Network Assurance,China Region,China Region,"Korea, Democratic People's Republic of",Panda (Beijing) International Tech Limited,熊猫（北京）国际信息技术有限公司,Operator
5529855,A9 rep office Koryolink 2014 small-medium project group,A9代表处Koryolink 2014年中小项目群,Uninitialized,Representative office Level (Class D),,CG10532 VimpelCom,Network Integration Services,China Region,China Region,"Korea, Democratic People's Republic of",Panda (Beijing) International Tech Limited,熊猫（北京）国际信息技术有限公司,Operator
5529639,A9 represenatitve office Koryolink 2014 software operation support small-medium contract,A9代表处Koryolink 2014年电软运营支撑中小打包项目,Uninitialized,Representative office Level (Class D),,80 其他,Software Company Service,China Region,China Region,"Korea, Democratic People's Republic of",,Koryolink,Operator
5527316,,KPTC 2013 IP Integrate Education Project,Uninitialized,Representative office Level (Class D),,CG10532 VimpelCom,Network Integration Services,China Region,China Region,"Korea, Democratic People's Republic of",,Panda-C,Operator
5524449,A9 business software small-medium project management,A9业软中小项目管理,Uninitialized,Representative office Level (Class D),,10013 合作伙伴-其他,Software Company Service,China Region,China Region,"Korea, Democratic People's Republic of",Panda (Beijing) International Tech Limited,熊猫（北京）国际信息技术有限公司,Operator
5522383,A9 2013 software core maintenance project,A9 2013电软核维护项目,Uninitialized,Representative office Level (Class D),,80 其他,Software Company Service,China Region,China Region,"Korea, Democratic People's Republic of",,Koryolink,Operator
5522161,A9 representative office 2013 Koryolink maintenance delivery,A9代表处2013 Koryolink维保交付,Uninitialized,Representative office Level (Class D),,10013 合作伙伴-其他,Managed Service & Network Assurance,China Region,China Region,"Korea, Democratic People's Republic of",Panda (Beijing) International Tech Limited,熊猫（北京）国际信息技术有限公司,Consumer
5521750,A9 small medium project management,A9中小项目管理,Uninitialized,Representative office Level (Class D),,10013 合作伙伴-其他,Network Integration Services,China Region,China Region,"Korea, Democratic People's Republic of",Panda (Beijing) International Tech Limited,熊猫（北京）国际信息技术有限公司,Consumer
5520046,A9 text message system upgrade,A9 短信系统升级,Uninitialized,Representative office Level (Class D),,80 其他,Software Company Service,China Region,China Region,"Korea, Democratic People's Republic of",,Koryolink,Operator
5519523,,RBT for KoryoLink,Uninitialized,Representative office Level (Class D),,80 其他,Software Company Service,China Region,China Region,"Korea, Democratic People's Republic of",,Koryolink,Operator
5517433,,A9 IVS Project For KPTC,Uninitialized,Normal Regional Level (Class C),,CG10532 VimpelCom,Software Company Service,China Region,China Region,"Korea, Democratic People's Republic of",,Korea Post and Telecommunications Trade Corp,Operator
5517197,A9 representative office 2012 Koryolink maintenance delivery,A9代表处2012 Koryolink维保交付,Uninitialized,Representative office Level (Class D),,80 其他,Managed Service & Network Assurance,China Region,China Region,"Korea, Democratic People's Republic of",,Koryolink,Operator
5517196,,2012 KPTC DWDM Project,Uninitialized,Representative office Level (Class D),,CG10532 VimpelCom,Network Integration Services,China Region,China Region,"Korea, Democratic People's Republic of",,Korea Post and Telecommunications Trade Corp,Operator
5516987,A9 2012 business software maintenance project,A9 2012年业软维护项目   ,Uninitialized,Representative office Level (Class D),,80 其他,Software Company Service,China Region,China Region,"Korea, Democratic People's Republic of",,Koryolink,Operator
5514044,Koryolink oCS1.2 upgrade project,KoryoLink OCS1.2 升级项目  ,Uninitialized,Normal Regional Level (Class C),,80 其他,Software Company Service,China Region,China Region,"Korea, Democratic People's Republic of",,Koryolink,
5511467,A9 representation office service sales,A9代表处服务销售   ,Uninitialized,Representative office Level (Class D),,80 其他,Network Integration Services,China Region,China Region,"Korea, Democratic People's Republic of",,Koryolink,
5511115,A9 representative office NGN project,A9代表处NGN项目  ,Uninitialized,Normal Regional Level (Class C),,80 其他,Network Integration Services,China Region,China Region,"Korea, Democratic People's Republic of",,Koryolink,Operator
5511068,2011 A9 Koryolink maintenance project,2011年A9 Koryolink维保项目  ,Uninitialized,Representative office Level (Class D),,80 其他,Managed Service & Network Assurance,China Region,China Region,"Korea, Democratic People's Republic of",,Koryolink,
5511067,A9 rep office small-medium project group management,A9代表处中小项目群管理,Uninitialized,Representative office Level (Class D),,80 其他,Network Integration Services,China Region,China Region,"Korea, Democratic People's Republic of",,Koryolink,Operator
5500223,,A9 - Common Service Program,Uninitialized,Representative office Level (Class D),,,Managed Service & Network Assurance,China Region,China Region,"Korea, Democratic People's Republic of",,,
3000009S,Jilin Mobile wireless survey information database,吉林电信无线站点勘测信息库,Uninitialized,,,China Telecom,Network Integration Services,China Region,China Region,China,China Telecoms Holdings Yuxi Co,中国电信股份有限公司玉溪分公司,1
3000008S,Jilin Telecom wireless survey information database,吉林联通无线站点勘测信息库,Uninitialized,,,China Unicom,Network Integration Services,China Region,China Region,China,China Unicom Group Mobile network Company Dongying Co,中国联通集团移动网络有限公司东营市分公司,1
3000007S,Jilin Mobile wireless survey information database,吉林移动无线站点勘测信息库,Uninitialized,,,China Mobile,Network Integration Services,China Region,China Region,China,Jilin Mobile Telecoms Limited Co Maintenance Center,吉林移动通信有限责任公司运行维护中心,1
3000003S,China Region China Telecom wireless router survey baseline database/warehouse,中国区电信无线站点勘测基线库,Initialized,,,China Telecom,Network Integration Services,China Region,China Region,China,China Telecoms Holdings Yuxi Co,中国电信股份有限公司玉溪分公司,1
3000002S,China Region China Unicom wireless router survey baseline database/warehouse,中国区联通无线站点勘测基线库,Initialized,,,China Unicom,Network Integration Services,China Region,China Region,China,China Unicom Group Mobile network Company Dongying Co,中国联通集团移动网络有限公司东营市分公司,1
3000001S,China Region China Mobile wireless router survey baseline database/warehouse,中国区移动无线站点勘测基线库,Initialized,,,China Mobile,Network Integration Services,China Region,China Region,China,China Mobile Telecommunications Group,中国移动通信集团公司,1
2018123S,,williamtest,Uninitialized,Top Company Level (Class S),,Others,Customer Support,China Region,China Region,China,,Cooperativa de Telecomunicaciones Santa Cruz Limitada,1
2017229S,Digitalization delivery work group,数字化交付工作组,Initialized,,,,Network Integration Services,China Region,China Region,China,,"HUAWEI TECHNOLOGIES CO.,LTD",4
2017224S,HR testing project,HR 测试项目,Initialized,Top Company Level (Class S),,Others,SmartCare,China Region,China Region,China,,"Huawei Tech. Investment Co.,Ltd",4
2017221S,,HR Test,Initialized,Normal Company Level (Class A),,Others,Network Integration Services,China Region,China Region,China,,Cooperativa de Telecomunicaciones Santa Cruz Limitada,4
2017052S,Lightweight micro-service,轻量化微服务,Initialized,Normal Regional Level (Class C),,Others,Network Integration Services,China Region,China Region,China,Huawei Internal Employees,华为内部员工,1
2017001S,Telecom LTE Fourth Quarter Wireless Collection- ICS room split testing project,电信LTE四期无线集采-ICS室分测试项目,Initialized,Normal Regional Level (Class C),,China Telecom,Customer Support,China Region,China Region,China,China Telecom Group,中国电信集团公司,1
2016102S,,test1029,Uninitialized,,DR1,Others,Network Integration Services,China Region,China Region,China,,Cooperativa de Telecomunicaciones Santa Cruz Limitada,1
1843814S,Software Digitalization Delivery Platform Development Project,软件数字化交付平台开发项目,Initialized,Top Regional Level (Class B),,Others,Software Company Service,China Region,China Region,China,Huawei Internal Employees,华为内部员工,1
1843811S,HKT Digitalization transformation strategy project,HKT数字化转型战略项目,Initialized,,,PCCW,Software Company Service,China Region,China Region,Hong Kong,,HKT Global (Singapore) Pte. Ltd.,1
1843810S,,HKT BES Project,Initialized,,,Others,Software Company Service,China Region,China Region,Greece,,Cooperativa de Telecomunicaciones Santa Cruz Limitada,1
1843807S,Gaiya Video Project,盖亚视频项目,Initialized,Normal Company Level (Class A),,Others,Software Company Service,China Region,China Region,China,Huawei Internal Employees,华为内部员工,1
1843803S,Software Demo Project,电软演示项目,Initialized,,DR1,,Software Company Service,China Region,China Region,China,Software Data Business Group,软件数字业务服务部,1
1843802S,Project Group 2,项目群2,Initialized,,,,Software Company Service,China Region,China Region,China,Software Data Business Group,软件数字业务服务部,1
1843801S,,BSS Transformation,Initialized,,,,Software Company Service,China Region,China Region,China,Huawei Software Technology Limited ,华为软件技术有限公司,1
1843800S,Project Group,项目群,Initialized,,,,Software Company Service,China Region,China Region,China,Huawei Software Technology Limiied ,华为软件技术有限公司,1
1843799S,Non-software testing project,非电软测试项目,Initialized,Top Company Level (Class S),,Agent,Managed Service,China Region,China Region,China,Changsha Xinle and Computer Systems Group,长沙新乐和计算机系统集成有限公司,2
1843797S,Software testing project - sz - non-software,电软测试项目-SZ-非电软,Uninitialized,,,China Telecom,Network Integration Services,China Region,China Region,China,China Telecoms Holdings Yuxi Co,中国电信股份有限公司玉溪分公司,1
1231231S,Testing initiatlization,测试初始化,Initialized,,,China Telecom,Software Company Service,China Region,China Region,China,China Telecoms Holdings Yuxi Co,中国电信股份有限公司玉溪分公司,1
1231176S,Software testing project,电软测试项目,Initialized,,DR1,,Software Company Service,China Region,China Region,China,,广东恒大和通信科技股份有限公司,1
0381256S,,Software War Room,Initialized,,,Others,Software Company Service,China Region,China Region,China,Huawei AI business management Group,华为公司智能业务管理部,1
0286207S,Electronic softwareization testing project,电软性能测试项目,Initialized,,,Others,Software Company Service,China Region,China Region,China,Huawei User Training Center AI Network Products group,华为公司用户培训中心智能网产品部,1
0009999S,Long distance  video virtualization project,远程视频虚拟项目   ,Initialized,Normal Regional Level (Class C),,China Telecom,Network Integration Services,China Region,China Region,China,China Telecoms Holdings Yuxi Co,中国电信股份有限公司玉溪分公司,1
0000001S,ISDP annual conference,ISDP年会  ,Initialized,,DR2,,Network Integration Services,China Region,China Region,China,Huawei Technologies Ltd Co,华为技术有限公司,1